Date,Date_Time,Total,Age,Cases,Sex,Week,Month,Year,Sum_Cases_w
2020/03/07 00:00:00,07-03-2020 17:00,21,20,1,Male,10,3,2020,4
2020/03/07 00:00:00,07-03-2020 17:00,21,30,2,Male,10,3,2020,19
2020/03/07 00:00:00,07-03-2020 17:00,21,40,6,Male,10,3,2020,36
2020/03/07 00:00:00,07-03-2020 17:00,21,50,2,Male,10,3,2020,14
2020/03/07 00:00:00,07-03-2020 17:00,21,60,2,Male,10,3,2020,18
2020/03/07 00:00:00,07-03-2020 17:00,21,70,0,Male,10,3,2020,0
2020/03/07 00:00:00,07-03-2020 17:00,21,80,0,Male,10,3,2020,0
2020/03/08 00:00:00,08-03-2020 17:30,30,0,0,Female,10,3,2020,0
2020/03/08 00:00:00,08-03-2020 17:30,30,10,3,Female,10,3,2020,10
2020/03/08 00:00:00,08-03-2020 17:30,30,20,1,Female,10,3,2020,3
2020/03/08 00:00:00,08-03-2020 17:30,30,30,1,Female,10,3,2020,6
2020/03/08 00:00:00,08-03-2020 17:30,30,40,4,Female,10,3,2020,23
2020/03/08 00:00:00,08-03-2020 17:30,30,50,0,Female,10,3,2020,2
2020/03/08 00:00:00,08-03-2020 17:30,30,60,1,Female,10,3,2020,4
2020/03/08 00:00:00,08-03-2020 17:30,30,70,2,Female,10,3,2020,10
2020/03/08 00:00:00,08-03-2020 17:30,30,80,0,Female,10,3,2020,0
2020/03/08 00:00:00,08-03-2020 17:30,30,0,0,Male,10,3,2020,0
2020/03/08 00:00:00,08-03-2020 17:30,30,10,2,Male,10,3,2020,10
2020/03/08 00:00:00,08-03-2020 17:30,30,20,1,Male,10,3,2020,4
2020/03/08 00:00:00,08-03-2020 17:30,30,30,3,Male,10,3,2020,19
2020/03/08 00:00:00,08-03-2020 17:30,30,40,6,Male,10,3,2020,36
2020/03/08 00:00:00,08-03-2020 17:30,30,50,3,Male,10,3,2020,14
2020/03/08 00:00:00,08-03-2020 17:30,30,60,3,Male,10,3,2020,18
2020/03/08 00:00:00,08-03-2020 17:30,30,70,0,Male,10,3,2020,0
2020/03/08 00:00:00,08-03-2020 17:30,30,80,0,Male,10,3,2020,0
2020/03/09 00:00:00,09-03-2020 18:45,39,0,0,Female,10,3,2020,0
2020/03/09 00:00:00,09-03-2020 18:45,39,10,3,Female,10,3,2020,10
2020/03/09 00:00:00,09-03-2020 18:45,39,20,1,Female,10,3,2020,3
2020/03/09 00:00:00,09-03-2020 18:45,39,30,2,Female,10,3,2020,6
2020/03/09 00:00:00,09-03-2020 18:45,39,40,7,Female,10,3,2020,23
2020/03/09 00:00:00,09-03-2020 18:45,39,50,1,Female,10,3,2020,2
2020/03/09 00:00:00,09-03-2020 18:45,39,60,1,Female,10,3,2020,4
2020/03/09 00:00:00,09-03-2020 18:45,39,70,3,Female,10,3,2020,10
2020/03/09 00:00:00,09-03-2020 18:45,39,80,0,Female,10,3,2020,0
2020/03/09 00:00:00,09-03-2020 18:45,39,0,0,Male,10,3,2020,0
2020/03/09 00:00:00,09-03-2020 18:45,39,10,3,Male,10,3,2020,10
2020/03/09 00:00:00,09-03-2020 18:45,39,20,1,Male,10,3,2020,4
2020/03/09 00:00:00,09-03-2020 18:45,39,30,4,Male,10,3,2020,19
2020/03/09 00:00:00,09-03-2020 18:45,39,40,7,Male,10,3,2020,36
2020/03/09 00:00:00,09-03-2020 18:45,39,50,3,Male,10,3,2020,14
2020/03/09 00:00:00,09-03-2020 18:45,39,60,3,Male,10,3,2020,18
2020/03/09 00:00:00,09-03-2020 18:45,39,70,0,Male,10,3,2020,0
2020/03/09 00:00:00,09-03-2020 18:45,39,80,0,Male,10,3,2020,0
2020/03/10 00:00:00,10-03-2020 10:00,41,0,0,Female,10,3,2020,0
2020/03/10 00:00:00,10-03-2020 10:00,41,10,3,Female,10,3,2020,10
2020/03/10 00:00:00,10-03-2020 10:00,41,20,1,Female,10,3,2020,3
2020/03/10 00:00:00,10-03-2020 10:00,41,30,2,Female,10,3,2020,6
2020/03/10 00:00:00,10-03-2020 10:00,41,40,7,Female,10,3,2020,23
2020/03/10 00:00:00,10-03-2020 10:00,41,50,1,Female,10,3,2020,2
2020/03/10 00:00:00,10-03-2020 10:00,41,60,1,Female,10,3,2020,4
2020/03/10 00:00:00,10-03-2020 10:00,41,70,3,Female,10,3,2020,10
2020/03/10 00:00:00,10-03-2020 10:00,41,80,0,Female,10,3,2020,0
2020/03/10 00:00:00,10-03-2020 10:00,41,0,0,Male,10,3,2020,0
2020/03/10 00:00:00,10-03-2020 10:00,41,10,3,Male,10,3,2020,10
2020/03/10 00:00:00,10-03-2020 10:00,41,20,1,Male,10,3,2020,4
2020/03/10 00:00:00,10-03-2020 10:00,41,30,4,Male,10,3,2020,19
2020/03/10 00:00:00,10-03-2020 10:00,41,40,7,Male,10,3,2020,36
2020/03/10 00:00:00,10-03-2020 10:00,41,50,3,Male,10,3,2020,14
2020/03/10 00:00:00,10-03-2020 10:00,41,60,5,Male,10,3,2020,18
2020/03/10 00:00:00,10-03-2020 10:00,41,70,0,Male,10,3,2020,0
2020/03/10 00:00:00,10-03-2020 10:00,41,80,0,Male,10,3,2020,0
2020/03/11 00:00:00,11-03-2020 00:00,59,0,0,Female,11,3,2020,4
2020/03/11 00:00:00,11-03-2020 00:00,59,10,6,Female,11,3,2020,89
2020/03/11 00:00:00,11-03-2020 00:00,59,20,1,Female,11,3,2020,62
2020/03/11 00:00:00,11-03-2020 00:00,59,30,5,Female,11,3,2020,129
2020/03/11 00:00:00,11-03-2020 00:00,59,40,9,Female,11,3,2020,158
2020/03/11 00:00:00,11-03-2020 00:00,59,50,1,Female,11,3,2020,78
2020/03/11 00:00:00,11-03-2020 00:00,59,60,1,Female,11,3,2020,43
2020/03/11 00:00:00,11-03-2020 00:00,59,70,3,Female,11,3,2020,41
2020/03/11 00:00:00,11-03-2020 00:00,59,80,0,Female,11,3,2020,24
2020/03/11 00:00:00,11-03-2020 00:00,59,0,1,Male,11,3,2020,7
2020/03/11 00:00:00,11-03-2020 00:00,59,10,5,Male,11,3,2020,52
2020/03/11 00:00:00,11-03-2020 00:00,59,20,3,Male,11,3,2020,100
2020/03/11 00:00:00,11-03-2020 00:00,59,30,4,Male,11,3,2020,163
2020/03/11 00:00:00,11-03-2020 00:00,59,40,7,Male,11,3,2020,162
2020/03/11 00:00:00,11-03-2020 00:00,59,50,4,Male,11,3,2020,144
2020/03/11 00:00:00,11-03-2020 00:00,59,60,5,Male,11,3,2020,100
